-4.00000000e+00 -1.00031095e-12 
-3.95000000e+00 -1.00031095e-12 
-3.90000000e+00 -1.00025543e-12 
-3.85000000e+00 -1.00025543e-12 
-3.80000000e+00 -1.00025543e-12 
-3.75000000e+00 -1.00025543e-12 
-3.70000000e+00 -1.00031095e-12 
-3.65000000e+00 -1.00019992e-12 
-3.60000000e+00 -1.00031095e-12 
-3.55000000e+00 -1.00019992e-12 
-3.50000000e+00 -1.00019992e-12 
-3.45000000e+00 -1.00019992e-12 
-3.40000000e+00 -1.00075503e-12 
-3.35000000e+00 -1.00280895e-12 
-3.30000000e+00 -1.01002540e-12 
-3.25000000e+00 -1.03694830e-12 
-3.20000000e+00 -1.13548060e-12 
-3.15000000e+00 -1.49674717e-12 
-3.10000000e+00 -3.87523347e-12 
-3.05000000e+00 -1.11860521e-11 
-3.00000000e+00 -3.37112005e-11 
-2.95000000e+00 -8.95825081e-11 
-2.90000000e+00 -2.66401401e-10 
-2.85000000e+00 -9.30972965e-10 
-2.80000000e+00 -3.39065187e-09 
-2.75000000e+00 -1.23972865e-08 
-2.70000000e+00 -4.53034589e-08 
-2.65000000e+00 -1.65281094e-07 
-2.60000000e+00 -6.01065543e-07 
-2.55000000e+00 -2.17098998e-06 
-2.50000000e+00 -7.72100310e-06 
-2.45000000e+00 -2.65090901e-05 
-2.40000000e+00 -8.45787562e-05 
-2.35000000e+00 -2.38422166e-04 
-2.30000000e+00 -5.74262166e-04 
-2.25000000e+00 -1.18284607e-03 
-2.20000000e+00 -2.13737476e-03 
-2.15000000e+00 -3.49253060e-03 
-2.10000000e+00 -5.27405742e-03 
-2.05000000e+00 -7.47479071e-03 
-2.00000000e+00 -1.00716104e-02 
-1.95000000e+00 -1.30375844e-02 
-1.90000000e+00 -1.63425553e-02 
-1.85000000e+00 -1.99552125e-02 
-1.80000000e+00 -2.38477393e-02 
-1.75000000e+00 -2.79968043e-02 
-1.70000000e+00 -3.23811783e-02 
-1.65000000e+00 -3.69795761e-02 
-1.60000000e+00 -4.17701732e-02 
-1.55000000e+00 -4.67311405e-02 
-1.50000000e+00 -5.18412774e-02 
-1.45000000e+00 -5.70803606e-02 
-1.40000000e+00 -6.23774420e-02 
-1.35000000e+00 -6.78271417e-02 
-1.30000000e+00 -7.33504020e-02 
-1.25000000e+00 -7.89311351e-02 
-1.20000000e+00 -8.45535924e-02 
-1.15000000e+00 -9.02026578e-02 
-1.10000000e+00 -9.58638037e-02 
-1.05000000e+00 -1.01523067e-01 
-1.00000000e+00 -1.07167043e-01 
-9.50000000e-01 -1.12782898e-01 
-9.00000000e-01 -1.18358391e-01 
-8.50000000e-01 -1.23881916e-01 
-8.00000000e-01 -1.29342549e-01 
-7.50000000e-01 -1.34730100e-01 
-7.00000000e-01 -1.40035179e-01 
-6.50000000e-01 -1.45249247e-01 
-6.00000000e-01 -1.50364669e-01 
-5.50000000e-01 -1.55374762e-01 
-5.00000000e-01 -1.60273819e-01 
-4.50000000e-01 -1.65057129e-01 
-4.00000000e-01 -1.69720970e-01 
-3.50000000e-01 -1.74262597e-01 
-3.00000000e-01 -1.78680198e-01 
-2.50000000e-01 -1.82972847e-01 
-2.00000000e-01 -1.87140441e-01 
-1.50000000e-01 -1.91183621e-01 
-1.00000000e-01 -1.95103696e-01 
-5.00000000e-02 -1.98902556e-01 
-5.84254867e-15 -2.02582583e-01 
 5.00000000e-02 -2.06146576e-01 
 1.00000000e-01 -2.09597663e-01 
 1.50000000e-01 -2.12939229e-01 
 2.00000000e-01 -2.16174851e-01 
 2.50000000e-01 -2.19308235e-01 
 3.00000000e-01 -2.22343162e-01 
 3.50000000e-01 -2.25283445e-01 
 4.00000000e-01 -2.28132889e-01 
 4.50000000e-01 -2.30895257e-01 
 5.00000000e-01 -2.33574248e-01 
 5.50000000e-01 -2.36173473e-01 
 6.00000000e-01 -2.38696441e-01 
 6.50000000e-01 -2.41146546e-01 
 7.00000000e-01 -2.43527059e-01 
 7.50000000e-01 -2.45841124e-01 
 8.00000000e-01 -2.48091751e-01 
 8.50000000e-01 -2.50281820e-01 
 9.00000000e-01 -2.52414078e-01 
 9.50000000e-01 -2.54491143e-01 
 1.00000000e+00 -2.56515505e-01 
 1.05000000e+00 -2.58489533e-01 
 1.10000000e+00 -2.60415472e-01 
 1.15000000e+00 -2.62295457e-01 
 1.20000000e+00 -2.64131511e-01 
 1.25000000e+00 -2.65925551e-01 
 1.30000000e+00 -2.67679395e-01 
 1.35000000e+00 -2.69394765e-01 
 1.40000000e+00 -2.71073293e-01 
 1.45000000e+00 -2.72716524e-01 
 1.50000000e+00 -2.74325924e-01 
 1.55000000e+00 -2.75902881e-01 
 1.60000000e+00 -2.77448709e-01 
 1.65000000e+00 -2.78964656e-01 
 1.70000000e+00 -2.80451904e-01 
 1.75000000e+00 -2.81911575e-01 
 1.80000000e+00 -2.83344731e-01 
 1.85000000e+00 -2.84752383e-01 
 1.90000000e+00 -2.86135490e-01 
 1.95000000e+00 -2.87494961e-01 
 2.00000000e+00 -2.88831662e-01 
