 0.00000000e+00 -8.27604651e-12  0.00000000e+00 -4.36397585e-11  0.00000000e+00 -3.37112005e-11 
 2.36400000e-06 -8.27604651e-12  2.36400000e-06 -4.36397585e-11  2.36400000e-06 -3.37112005e-11 
 2.41400000e-06 -8.27604651e-12  2.41400000e-06 -4.36397585e-11  2.41400000e-06 -3.37112005e-11 
 2.46400000e-06 -8.27604651e-12  2.46400000e-06 -4.36397585e-11  2.46400000e-06 -3.37112005e-11 
 2.51400000e-06 -8.27604651e-12  2.51400000e-06 -4.36397585e-11  2.51400000e-06 -3.37112005e-11 
 2.56400000e-06 -8.27604651e-12  2.56400000e-06 -4.36397585e-11  2.56400000e-06 -3.37112005e-11 
 2.61400000e-06 -8.27604651e-12  2.61400000e-06 -4.36397585e-11  2.61400000e-06 -3.37112005e-11 
 2.66400000e-06 -8.27604651e-12  2.66400000e-06 -4.36397585e-11  2.66400000e-06 -3.37112005e-11 
 2.71400000e-06 -8.27604651e-12  2.71400000e-06 -4.36397585e-11  2.71400000e-06 -3.37112005e-11 
 2.76400000e-06 -8.27604651e-12  2.76400000e-06 -4.36397585e-11  2.76400000e-06 -3.37112005e-11 
 2.81400000e-06 -8.27604651e-12  2.81400000e-06 -4.36397585e-11  2.81400000e-06 -3.37112005e-11 
 2.86400000e-06 -8.27604651e-12  2.86400000e-06 -4.36397585e-11  2.86400000e-06 -3.37112005e-11 
 2.91400000e-06 -8.27604651e-12  2.91400000e-06 -4.36397585e-11  2.91400000e-06 -3.37112005e-11 
 2.96400000e-06 -8.27604651e-12  2.96400000e-06 -4.36397585e-11  2.96400000e-06 -3.37112005e-11 
 3.01400000e-06 -8.27604651e-12  3.01400000e-06 -4.36397585e-11  3.01400000e-06 -3.37112005e-11 
 3.06400000e-06 -8.27604651e-12  3.06400000e-06 -4.36397585e-11  3.06400000e-06 -3.37112005e-11 
 3.11400000e-06 -8.27604651e-12  3.11400000e-06 -4.36397585e-11  3.11400000e-06 -3.37112005e-11 
 3.16400000e-06 -8.27604651e-12  3.16400000e-06 -4.36397585e-11  3.16400000e-06 -3.37112005e-11 
 3.21400000e-06 -8.27604651e-12  3.21400000e-06 -4.36397585e-11  3.21400000e-06 -3.37112005e-11 
 3.26400000e-06 -8.27604651e-12  3.26400000e-06 -4.36397585e-11  3.26400000e-06 -3.37112005e-11 
 3.31400000e-06 -8.27604651e-12  3.31400000e-06 -4.36397585e-11  3.31400000e-06 -3.37112005e-11 
 3.36400000e-06 -8.27604651e-12  3.36400000e-06 -4.36397585e-11  3.36400000e-06 -3.37112005e-11 
 3.41400000e-06 -8.27604651e-12  3.41400000e-06 -4.36397585e-11  3.41400000e-06 -3.37112005e-11 
 3.46400000e-06 -8.27604651e-12  3.46400000e-06 -4.36397585e-11  3.46400000e-06 -3.37112005e-11 
 3.51400000e-06 -8.27604651e-12  3.51400000e-06 -4.36397585e-11  3.51400000e-06 -3.37112005e-11 
 3.56400000e-06 -8.27604651e-12  3.56400000e-06 -4.36397585e-11  3.56400000e-06 -3.37112005e-11 
 3.61400000e-06 -8.27604651e-12  3.61400000e-06 -4.36397585e-11  3.61400000e-06 -3.37112005e-11 
 3.66400000e-06 -8.27604651e-12  3.66400000e-06 -4.36397585e-11  3.66400000e-06 -3.37112005e-11 
 3.71400000e-06 -8.27604651e-12  3.71400000e-06 -4.36397585e-11  3.71400000e-06 -3.37112005e-11 
 3.76400000e-06 -8.27604651e-12  3.76400000e-06 -4.36397585e-11  3.76400000e-06 -3.37112005e-11 
 3.81400000e-06 -8.27604651e-12  3.81400000e-06 -4.36397585e-11  3.81400000e-06 -3.37112005e-11 
 3.86400000e-06 -8.27604651e-12  3.86400000e-06 -4.36397585e-11  3.86400000e-06 -3.37112005e-11 
 3.91400000e-06 -8.27604651e-12  3.91400000e-06 -4.36397585e-11  3.91400000e-06 -3.37112005e-11 
 3.96400000e-06 -8.27604651e-12  3.96400000e-06 -4.36397585e-11  3.96400000e-06 -3.37112005e-11 
 4.01400000e-06 -8.27604651e-12  4.01400000e-06 -4.36397585e-11  4.01400000e-06 -3.37112005e-11 
 4.06400000e-06 -8.27604651e-12  4.06400000e-06 -4.36397585e-11  4.06400000e-06 -3.37112005e-11 
 4.11400000e-06 -8.27604651e-12  4.11400000e-06 -4.36397585e-11  4.11400000e-06 -3.37112005e-11 
 4.16400000e-06 -8.27604651e-12  4.16400000e-06 -4.36397585e-11  4.16400000e-06 -3.37112005e-11 
 4.21400000e-06 -8.27604651e-12  4.21400000e-06 -4.36397585e-11  4.21400000e-06 -3.37112005e-11 
 4.26400000e-06 -8.27604651e-12  4.26400000e-06 -4.36397585e-11  4.26400000e-06 -3.37112005e-11 
 4.31400000e-06 -8.27604651e-12  4.31400000e-06 -4.36397585e-11  4.31400000e-06 -3.37112005e-11 
 4.36400000e-06 -8.27604651e-12  4.36400000e-06 -4.36397585e-11  4.36400000e-06 -3.37112005e-11 
 4.41400000e-06 -8.27604651e-12  4.41400000e-06 -4.36397585e-11  4.41400000e-06 -3.37112005e-11 
 4.46400000e-06 -8.27604651e-12  4.46400000e-06 -4.36397585e-11  4.46400000e-06 -3.37112005e-11 
 4.51400000e-06 -8.27604651e-12  4.51400000e-06 -4.36397585e-11  4.51400000e-06 -3.37112005e-11 
 4.56400000e-06 -8.27604651e-12  4.56400000e-06 -4.36397585e-11  4.56400000e-06 -3.37112005e-11 
 4.61400000e-06 -8.27604651e-12  4.61400000e-06 -4.36397585e-11  4.61400000e-06 -3.37112005e-11 
 4.66400000e-06 -8.27604651e-12  4.66400000e-06 -4.36397585e-11  4.66400000e-06 -3.37112005e-11 
 4.71400000e-06 -8.27604651e-12  4.71400000e-06 -4.36397585e-11  4.71400000e-06 -3.37112005e-11 
 4.76400000e-06 -8.27604651e-12  4.76400000e-06 -4.36397585e-11  4.76400000e-06 -3.37112005e-11 
 4.81400000e-06 -8.27604651e-12  4.81400000e-06 -4.36397585e-11  4.81400000e-06 -3.37112005e-11 
 4.86400000e-06 -8.27604651e-12  4.86400000e-06 -4.36397585e-11  4.86400000e-06 -3.37112005e-11 
 4.91400000e-06 -8.27604651e-12  4.91400000e-06 -4.36397585e-11  4.91400000e-06 -3.37112005e-11 
 4.96400000e-06 -8.27604651e-12  4.96400000e-06 -4.36397585e-11  4.96400000e-06 -3.37112005e-11 
 5.01400000e-06 -8.27604651e-12  5.01400000e-06 -4.36397585e-11  5.01400000e-06 -3.37112005e-11 
 5.06400000e-06 -8.27604651e-12  5.06400000e-06 -4.36397585e-11  5.06400000e-06 -3.37112005e-11 
 5.11400000e-06 -8.27604651e-12  5.11400000e-06 -4.36397585e-11  5.11400000e-06 -3.37112005e-11 
 5.16400000e-06 -8.27604651e-12  5.16400000e-06 -4.36397585e-11  5.16400000e-06 -3.37112005e-11 
 5.21400000e-06 -8.27604651e-12  5.21400000e-06 -4.36397585e-11  5.21400000e-06 -3.37112005e-11 
 5.26400000e-06 -8.27604651e-12  5.26400000e-06 -4.36397585e-11  5.26400000e-06 -3.37112005e-11 
 5.31400000e-06 -8.27604651e-12  5.31400000e-06 -4.36397585e-11  5.31400000e-06 -3.37112005e-11 
 5.36400000e-06 -8.27604651e-12  5.36400000e-06 -4.36397585e-11  5.36400000e-06 -3.37112005e-11 
 5.41400000e-06 -8.27604651e-12  5.41400000e-06 -4.36397585e-11  5.41400000e-06 -3.37112005e-11 
 5.46400000e-06 -8.27604651e-12  5.46400000e-06 -4.36397585e-11  5.46400000e-06 -3.37112005e-11 
 5.51400000e-06 -8.27604651e-12  5.51400000e-06 -4.36397585e-11  5.51400000e-06 -3.37112005e-11 
